"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/mail.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/modal_back.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/modal_down.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/modal_esc.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/modal_sparkles.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/modal_trending.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/modal_up.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/phone.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/send.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/misiek/Repozytorium/reklamowe24/src/assets/icons/star.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/misiek/Repozytorium/reklamowe24/src/components/BaseButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"/home/misiek/Repozytorium/reklamowe24/src/components/BaseCarousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 1, 8, 66
"/home/misiek/Repozytorium/reklamowe24/src/components/BaseContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"/home/misiek/Repozytorium/reklamowe24/src/components/BaseGadget.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 1, 11, 89
"/home/misiek/Repozytorium/reklamowe24/src/components/BaseHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"/home/misiek/Repozytorium/reklamowe24/src/components/BaseReview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 5, 31
"/home/misiek/Repozytorium/reklamowe24/src/components/BurgerMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 6, 41
"/home/misiek/Repozytorium/reklamowe24/src/components/CategoryCarousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 8, 59
"/home/misiek/Repozytorium/reklamowe24/src/components/CategoryModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"/home/misiek/Repozytorium/reklamowe24/src/components/Divider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"/home/misiek/Repozytorium/reklamowe24/src/components/Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 195, 0, 9, 204
"/home/misiek/Repozytorium/reklamowe24/src/components/Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 8, 82
"/home/misiek/Repozytorium/reklamowe24/src/components/ImageCarousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 9, 77
"/home/misiek/Repozytorium/reklamowe24/src/components/NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 18, 125
"/home/misiek/Repozytorium/reklamowe24/src/components/ScrollButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 8, 37
"/home/misiek/Repozytorium/reklamowe24/src/components/SearchModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 14, 153
"/home/misiek/Repozytorium/reklamowe24/src/db/brands.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/misiek/Repozytorium/reklamowe24/src/db/carouselImages.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/misiek/Repozytorium/reklamowe24/src/db/categories.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/home/misiek/Repozytorium/reklamowe24/src/db/companies.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/home/misiek/Repozytorium/reklamowe24/src/db/gadgets.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 1, 45
"/home/misiek/Repozytorium/reklamowe24/src/db/offers.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 1, 50
"/home/misiek/Repozytorium/reklamowe24/src/db/reviews.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 0, 1, 73
"/home/misiek/Repozytorium/reklamowe24/src/index.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 3, 5, 24
"/home/misiek/Repozytorium/reklamowe24/src/pages/HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 7, 12, 79
"/home/misiek/Repozytorium/reklamowe24/src/pages/NoContentPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 3, 22
"/home/misiek/Repozytorium/reklamowe24/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/home/misiek/Repozytorium/reklamowe24/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"/home/misiek/Repozytorium/reklamowe24/src/theme/tailwind.css", "CSS", 0, 0, 0, 0, 0, 23, 0, 2, 5, 30
"/home/misiek/Repozytorium/reklamowe24/src/utils/common.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"/home/misiek/Repozytorium/reklamowe24/tailwind.config.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 1, 2, 27
"Total", "-", 18503, 51, 17, 308, 61, 332, 1018, 208, 261, 20759
